gap_id,scope,file_kind,gap_type,reason_code,recoverability,n_ground_truth_rows,n_strain_pairing_rows,n_distinct_items,items,studies,detail,next_action
G01,ground_truth,ms2_spectrum,not_attempted,spectrum_extraction_not_run,automatable,115,,,,03087dd9|08a05264|0fa2c5fc|1af59f37|1b0dccac|297c364c|472fea93|4b29ddc3|577a750e|6ad1d8ed|6ea72318|7280022c|... (+20 more),No per-link MGF has been cut yet. 66 rows carry an explicit ms2_scan and 49 carry a GNPS component; both are extractable from files already downloaded.,Extract scans from the mzML/mzXML already on disk.
G02,ground_truth,genome,mapping_gap,gnps_component_bridge_not_run,automatable,48,,,,03087dd9|08a05264|1b0dccac|297c364c|472fea93|4b29ddc3|577a750e|6ea72318|7280022c|84b56cd3|93f8edd3|aa886b1a|... (+2 more),"Every one of these is a 'GNPS molecular family' link. They carry no MS2_URL, so the ms2_url_bridge cannot fire and no genome is attached. The genome FILES are on disk -- 297c364c alone holds 130 -- this is a join that was never built, not missing data. SCREENED 2026-08-27: NPLinker's own podp mode supplies this join for free. All 14 affected studies pass pre-flight (48/48 links).",Run NPLinker in podp mode per study rather than hand-building a bridge; its gnps/file_mappings.tsv is a spectrum x strain matrix. Verified on task c22f44b14a: 27/27 real strain columns resolve to a genome accession. See nplinker_podp_screen.csv.
G03,ground_truth,ms2_run,mapping_gap,no_ms2_url_on_family_link,automatable,48,,,,03087dd9|08a05264|1b0dccac|297c364c|472fea93|4b29ddc3|577a750e|6ea72318|7280022c|84b56cd3|93f8edd3|aa886b1a|... (+2 more),"Same 48 family links. PoDP records a network component, not a run file, so there is no URL to resolve until the component is expanded to its member spectra. NPLinker's podp mode does that expansion as part of arrange_gnps().","Same as G02 -- NPLinker podp mode, not a hand-built bridge."
G04,ground_truth,ms2_run,file_gap,massive_download_failed,manual,1,,1,20170919_NM6_glyc2.1.mzXML,faafed8f,URL is present and well-formed but the file was not retrieved. Only MS2 run in this state.,Retry from the MassIVE FTP path by hand.
G05,ground_truth,bgc,file_gap,mibig_absent_from_both,unavailable,1,,1,BGC0002077,d0f1add5,Cited by PoDP but present in neither MIBiG 3.1 nor 4.0. The accession may never have been issued.,"Confirm the accession against MIBiG directly; if invalid, the link's BGC claim cannot be grounded."
G06,ground_truth,bgc,file_gap,mibig_dropped_from_4.0,manual,5,,4,BGC0000962|BGC0001476|BGC0001599|BGC0002061,aa886b1a|c86fdc82|cc996566|e26c5e21,"Active with a structure in MIBiG 3.1, but dropped from the 4.0 bundle. The 3.1 record still exists upstream.",Decide whether to pin these to their 3.1 record or accept the loss. Note BGC0000962 (barbamide) is NPOmix-covered.
G07,genome_file,genome,file_gap,ncbi_returned_wrong_strain,manual,0,166,21,2515154124|2515154177|2516143022|2516493032|2516653042|2517287019|2517287023|2517434008|2517572194|2518285561|2524614807|2528311034|... (+9 more),297c364c|4b29ddc3,"NCBI's assembly index ignores strain tokens, so a strain-name query silently returns an arbitrary genome of the same genus. verify_strain() caught these; a content hash found six accessions collapsing onto one file. Quarantined, never promoted.","Re-resolve via BioSample [Strain] then elink to assembly -- confirmed working on CNS237, CNH643, CNS205."
G08,genome_file,genome,file_gap,metagenome_scale_assembly,manual,3,2,2,JAAHTG010000000|JAAHTH010000000,815c513e,"Sequence is present and complete, but the assembly is metagenome-scale rather than an isolate. Held back by the scale gate so it cannot be mistaken for a single-strain genome.","A judgement call, not a gap: antiSMASH will run on these. Promote deliberately if metagenome-derived BGCs are acceptable."
G09,genome_file,genome,file_gap,no_sequence_after_refetch,manual,2,91,10,2515154126|2515154180|2561511034|2561511103|2563366517|2563366531|2563366533|AZHW00000000.1|GCF_000514575.1|GCF_000514975.1,297c364c|4b29ddc3|7ac37e93,Re-fetch still yielded a record with no ORIGIN block -- typically a WGS/CON master record that indexes contigs without carrying them.,"Fetch the component contigs, or the assembly FTP _genomic.gbff.gz for the corresponding GCA/GCF."
G10,genome_file,genome,file_gap,no_resolution_route,manual,0,76,9,2515154126|2515154180|2561511034|2561511103|2563366517|2563366531|2563366533|GCF_000514575.1|GCF_000514975.1,297c364c|4b29ddc3,"Neither the accession, the BioSample, nor the strain name resolved to anything at NCBI.","Check the source publication for a deposition, or ask the depositor. Some may be unreleased."
G11,genome_file,genome,file_gap,jgi_img_only_no_ncbi_mirror,deferred,0,72,7,2515154126|2515154180|2561511034|2561511103|2563366517|2563366531|2563366533,297c364c,"IMG Taxon OIDs with no NCBI equivalent. NPOmix used the same JGI identifiers, so their supplement offers no shortcut. DEFERRED 2026-08-27: study 297c364c already has 130 of its 157 genomes on disk, so these 7 do not change rankability, and none is NPOmix-covered.","DEFERRED. If revisited: img.jgi.doe.gov, search by Taxon OID, download 'Genbank (.gbk)' (not FASTA), verify strain against genome_label. Login required."
